[12-Jan-2017 09:43:22 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 09:43:24 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 09:43:33 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 09:43:34 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 09:44:08 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 09:44:12 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 09:44:15 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 09:44:28 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 09:44:28 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 09:45:11 Europe/Berlin] PHP Fatal error:  Function name must be a string in D:\xampp\htdocs\crud\public\index.php on line 37
[12-Jan-2017 09:45:13 Europe/Berlin] PHP Fatal error:  Function name must be a string in D:\xampp\htdocs\crud\public\index.php on line 37
[12-Jan-2017 09:45:21 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 09:45:23 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 09:45:38 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 09:45:39 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 09:49:53 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:49:54 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:49:55 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:52:10 Europe/Berlin] PHP Warning:  array_shift() expects parameter 1 to be array, null given in D:\xampp\htdocs\crud\public\index.php on line 40
[12-Jan-2017 09:52:10 Europe/Berlin] PHP Warning:  array_shift() expects parameter 1 to be array, null given in D:\xampp\htdocs\crud\public\index.php on line 42
[12-Jan-2017 09:52:10 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 09:52:12 Europe/Berlin] PHP Warning:  array_shift() expects parameter 1 to be array, null given in D:\xampp\htdocs\crud\public\index.php on line 40
[12-Jan-2017 09:52:12 Europe/Berlin] PHP Warning:  array_shift() expects parameter 1 to be array, null given in D:\xampp\htdocs\crud\public\index.php on line 42
[12-Jan-2017 09:52:12 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 09:52:29 Europe/Berlin] PHP Warning:  array_shift() expects parameter 1 to be array, null given in D:\xampp\htdocs\crud\public\index.php on line 41
[12-Jan-2017 09:52:29 Europe/Berlin] PHP Warning:  array_shift() expects parameter 1 to be array, null given in D:\xampp\htdocs\crud\public\index.php on line 43
[12-Jan-2017 09:52:29 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 09:52:30 Europe/Berlin] PHP Warning:  array_shift() expects parameter 1 to be array, null given in D:\xampp\htdocs\crud\public\index.php on line 41
[12-Jan-2017 09:52:30 Europe/Berlin] PHP Warning:  array_shift() expects parameter 1 to be array, null given in D:\xampp\htdocs\crud\public\index.php on line 43
[12-Jan-2017 09:52:30 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 09:52:31 Europe/Berlin] PHP Warning:  array_shift() expects parameter 1 to be array, null given in D:\xampp\htdocs\crud\public\index.php on line 41
[12-Jan-2017 09:52:31 Europe/Berlin] PHP Warning:  array_shift() expects parameter 1 to be array, null given in D:\xampp\htdocs\crud\public\index.php on line 43
[12-Jan-2017 09:52:31 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 09:52:41 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:52:42 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:52:43 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:52:46 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:52:49 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:52:49 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:53:04 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:53:05 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
